Image,Type,PSNR_Full,SSIM_Full,PSNR_Tumor,SSIM_Tumor,PSNR_Background,SSIM_Background,Time,Method
malignant_12,malignant,17.84352406379195,0.235438208545623,18.826999953434264,0.9876975282964005,17.81755315517154,0.2676690960721355,40.09810757637024,Adaptive-HASA
malignant_12,malignant,18.45370345226034,0.2911753435296155,19.17346870301042,0.44920105807353966,18.43454249669127,0.2911753435296155,13.390801191329956,Static-HASA
malignant_12,malignant,17.366817802437225,0.2051342583620431,15.983878091612372,0.9843576699675972,17.41528787533289,0.2451519005734077,1.643143892288208,TV-only
malignant_12,malignant,15.29989112122879,0.1793931247972215,15.643899923654377,0.1799589306901976,15.2903262231752,0.1793931247972215,12.878682851791382,Wavelet-only
malignant_13,malignant,18.856726629039,0.2358004365348534,19.73703043485237,0.9550899544260836,18.78405017058733,0.3328683536835267,35.22789168357849,Adaptive-HASA
malignant_13,malignant,19.240439957637015,0.30851686480823987,18.514371825724783,0.22935631447957325,19.31347925612014,0.30851686480823987,12.730666399002075,Static-HASA
malignant_13,malignant,18.72375632656437,0.2269738432134054,19.78038813231318,0.9542995430847608,18.63833687613596,0.3289082664068812,1.5068271160125732,TV-only
malignant_13,malignant,17.226683002480033,0.22552709986234568,16.982355160250794,0.2434756272660632,17.249778333069017,0.22552709986234568,11.020551443099976,Wavelet-only
malignant_14,malignant,21.358253266981837,0.3944010928536233,21.50397962968953,0.903780470619012,21.330006289316728,0.5283127501069531,35.07395052909851,Adaptive-HASA
malignant_14,malignant,21.29443626137785,0.41592826149694817,20.74549197551562,0.36200540043105417,21.41125717526199,0.41592826149694817,13.223738431930542,Static-HASA
malignant_14,malignant,20.005326930887723,0.3567164289671066,18.074118059651568,0.881718509072865,20.51502203143512,0.512292718914082,1.1910178661346436,TV-only
malignant_14,malignant,19.286077420695104,0.2548264856153204,19.362482301893035,0.2942139257766063,19.271184163843447,0.2548264856153204,11.35888385772705,Wavelet-only
malignant_15,malignant,19.53686407644539,0.2561587018561538,21.686092195368616,0.8366898216682721,18.972156891670867,0.4659065489513704,35.46644926071167,Adaptive-HASA
malignant_15,malignant,19.49130220238391,0.3044637525555271,20.789849905581484,0.34648693860974333,19.109562653758655,0.3044637525555271,12.584463834762573,Static-HASA
malignant_15,malignant,18.70315752609917,0.2287419441584414,20.51461777013771,0.8228411973525688,18.20585803549837,0.4509980130483768,1.2107915878295898,TV-only
malignant_15,malignant,18.787006556763718,0.24775622669672623,19.68009380130685,0.2720720819459898,18.509110474836746,0.24775622669672623,11.675327062606812,Wavelet-only
malignant_2,malignant,19.63615418598786,0.3453709866017412,21.69334976637134,0.8401272530907733,18.86200303852789,0.5756132904195237,34.880717277526855,Adaptive-HASA
malignant_2,malignant,21.105313155957575,0.3749074046939024,22.222303868888545,0.4341654141753969,20.622052119529787,0.3749074046939024,12.02808427810669,Static-HASA
malignant_2,malignant,17.810247452627962,0.2786025516784435,18.47556913802396,0.7972837551667818,17.502392488021535,0.559093018197952,1.1558189392089844,TV-only
malignant_2,malignant,16.072519622811022,0.19030103671153578,16.44139718580327,0.18534001088519164,15.892747734725237,0.19030103671153578,14.144414901733398,Wavelet-only
malignant_3,malignant,22.476767603529105,0.6009462556304984,21.70331364217335,0.9814431088430728,22.53179477399312,0.6442993508485458,34.96946835517883,Adaptive-HASA
malignant_3,malignant,24.255566020375,0.6337463504536701,22.06880671580105,0.5399272016278605,24.44218160109775,0.6337463504536701,13.35638427734375,Static-HASA
malignant_3,malignant,22.10729179591468,0.5843607045271002,20.611870422045087,0.9764420796506992,22.224149022930398,0.6362858612246538,1.0266311168670654,TV-only
malignant_3,malignant,16.896339689673457,0.18269001757154027,17.979722567776307,0.2192932663504273,16.835159735455335,0.18269001757154027,12.338299751281738,Wavelet-only
malignant_4,malignant,21.220426418007875,0.5251650376686074,19.75050827875433,0.9754516693496776,21.351857090752134,0.5798913537426161,34.652827739715576,Adaptive-HASA
malignant_4,malignant,22.989067362958266,0.5738120799566137,20.853858303465778,0.48681693238692436,23.19613674336469,0.5738120799566137,12.391043186187744,Static-HASA
malignant_4,malignant,20.72999784590353,0.5078223553257514,18.172764113699884,0.9691213171546024,20.995695032588458,0.5721132272453939,1.0357348918914795,TV-only
malignant_4,malignant,16.123710116714204,0.14905885677412542,17.000654828376454,0.2110359387296192,16.065873231227627,0.14905885677412542,10.945334196090698,Wavelet-only
malignant_5,malignant,21.149283157128803,0.5185152507632522,21.601005068990467,0.9822895621318224,21.12330740165401,0.5631609757931714,34.90813994407654,Adaptive-HASA
malignant_5,malignant,22.888668627678683,0.5681096639487653,21.38988270971664,0.49466931690920096,22.99922224314453,0.5681096639487653,12.227473258972168,Static-HASA
malignant_5,malignant,20.683772942945527,0.5033423748202287,19.83331992748833,0.97859011030993,20.741200679347077,0.5581953759939849,1.0204641819000244,TV-only
malignant_5,malignant,16.1078554570703,0.14932548903370224,17.07780890460905,0.20958767200149683,16.05516362961253,0.14932548903370224,10.515227556228638,Wavelet-only
malignant_6,malignant,21.11449280523084,0.4992418274248741,21.814168148781768,0.9773749691392573,21.073042775750967,0.5455567082272631,34.593568086624146,Adaptive-HASA
malignant_6,malignant,22.72030303353839,0.536149952462126,21.242358326161717,0.47385513233780263,22.83524633130614,0.536149952462126,12.592239141464233,Static-HASA
malignant_6,malignant,20.930754760591235,0.4933472428442965,20.561408418638173,0.9747847973405868,20.95567165187392,0.5452138420354957,1.0042171478271484,TV-only
malignant_6,malignant,16.39657314132971,0.16700859127326662,16.4833729682479,0.2438318485633203,16.391039519367347,0.16700859127326662,11.17204737663269,Wavelet-only
